case,run,result,gc_mode,allocated_bytes,copied_bytes,max_residency_bytes,mut_elapsed_s,total_elapsed_s
data/satlib/flat200-479/flat200-1.cnf,10,SAT,nonmoving,120181392,4845504,1861880,0.123,0.161
data/satlib/flat200-479/flat200-1.cnf,11,SAT,nonmoving,120181392,4838920,1861880,0.045,0.059
data/satlib/flat200-479/flat200-1.cnf,12,SAT,nonmoving,120181392,4845368,1861880,0.045,0.058
data/satlib/flat200-479/flat200-1.cnf,13,SAT,nonmoving,120181392,4844784,1861880,0.045,0.060
data/satlib/flat200-479/flat200-1.cnf,14,SAT,nonmoving,120181392,4844768,1861880,0.045,0.062
data/satlib/flat200-479/flat200-1.cnf,15,SAT,nonmoving,120181392,4845704,1861880,0.045,0.060
data/satlib/flat200-479/flat200-1.cnf,16,SAT,nonmoving,120181392,4844824,1861880,0.043,0.050
data/satlib/flat200-479/flat200-1.cnf,17,SAT,nonmoving,120181392,4845240,1861880,0.047,0.059
data/satlib/flat200-479/flat200-1.cnf,18,SAT,nonmoving,120181392,4845704,1861880,0.154,0.166
data/satlib/flat200-479/flat200-1.cnf,19,SAT,nonmoving,120181392,4844784,1861880,0.047,0.061
data/satlib/flat200-479/flat200-1.cnf,20,SAT,nonmoving,120181392,4845696,1861880,0.047,0.059
data/satlib/flat200-479/flat200-1.cnf,21,SAT,nonmoving,120181392,4845464,1861880,0.047,0.059
data/satlib/Bejing/3blocks.cnf,1,SAT,nonmoving,105764664,32478600,16377336,0.417,0.458
data/satlib/Bejing/3blocks.cnf,2,SAT,nonmoving,105764664,32477656,15068344,0.515,0.552
data/satlib/Bejing/3blocks.cnf,3,SAT,nonmoving,105764664,32477656,15068344,0.646,0.690
data/satlib/Bejing/3blocks.cnf,4,SAT,nonmoving,105764664,32486424,16410064,0.522,0.577
data/satlib/Bejing/3blocks.cnf,5,SAT,nonmoving,105764664,32486704,16377296,0.722,0.773
data/satlib/Bejing/3blocks.cnf,6,SAT,nonmoving,105764664,32486704,16377296,0.677,0.724
data/satlib/Bejing/3blocks.cnf,7,SAT,nonmoving,105764664,32478608,16377296,0.563,0.605
data/satlib/Bejing/3blocks.cnf,8,SAT,nonmoving,105764664,32486424,16410064,0.594,0.662
data/satlib/Bejing/3blocks.cnf,9,SAT,nonmoving,105764664,32478600,16377336,0.435,0.482
data/satlib/Bejing/3blocks.cnf,10,SAT,nonmoving,105764664,32477656,15068344,0.434,0.483
data/satlib/Bejing/3blocks.cnf,11,SAT,nonmoving,105764664,32486840,16410064,0.417,0.462
data/satlib/Bejing/3blocks.cnf,12,SAT,nonmoving,105764664,32477656,15068344,0.417,0.456
data/satlib/Bejing/3blocks.cnf,13,SAT,nonmoving,105764664,32477656,15068344,0.409,0.459
data/satlib/Bejing/3blocks.cnf,14,SAT,nonmoving,105764664,32478608,16377296,0.473,0.510
data/satlib/Bejing/3blocks.cnf,15,SAT,nonmoving,105764664,32477656,15068344,0.437,0.476
data/satlib/Bejing/3blocks.cnf,16,SAT,nonmoving,105764664,32477656,15068344,0.418,0.459
data/satlib/Bejing/3blocks.cnf,17,SAT,nonmoving,105764664,32477656,15068344,0.446,0.512
data/satlib/Bejing/3blocks.cnf,18,SAT,nonmoving,105764664,32477656,15068344,0.444,0.493
data/satlib/Bejing/3blocks.cnf,19,SAT,nonmoving,105764664,32488520,15109824,0.492,0.567
data/satlib/Bejing/3blocks.cnf,20,SAT,nonmoving,105764664,32486600,16377296,0.509,0.553
data/satlib/Bejing/3blocks.cnf,21,SAT,nonmoving,105764664,32477656,15068344,0.513,0.552
workspace/tuning-corpus/all-binary-2-unsat.cnf,1,UNSAT,nonmoving,290584,6696,1067744,0.001,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,2,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,3,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,4,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,5,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,6,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,7,UNSAT,nonmoving,290584,6696,1067744,0.001,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,8,UNSAT,nonmoving,290584,6696,1067744,0.000,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,9,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,10,UNSAT,nonmoving,290584,6696,1067744,0.000,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,11,UNSAT,nonmoving,290584,6696,1067744,0.000,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,12,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,13,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,14,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,15,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,16,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,17,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,18,UNSAT,nonmoving,290584,6696,1067744,0.001,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,19,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,20,UNSAT,nonmoving,290584,6696,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,21,UNSAT,nonmoving,290584,6696,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,1,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,2,UNSAT,nonmoving,385680,7272,1067744,0.002,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,3,UNSAT,nonmoving,385680,7272,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,4,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,5,UNSAT,nonmoving,385680,7272,1067744,0.000,0.010
workspace/tuning-corpus/implication-chain-12-unsat.cnf,6,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,7,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,8,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,9,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,10,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,11,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,12,UNSAT,nonmoving,385680,7272,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,13,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,14,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,15,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,16,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,17,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,18,UNSAT,nonmoving,385680,7272,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,19,UNSAT,nonmoving,385680,7272,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,20,UNSAT,nonmoving,385680,7272,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,21,UNSAT,nonmoving,385680,7272,1067744,0.000,0.012
workspace/tuning-corpus/php-7-6-unsat.cnf,1,UNSAT,nonmoving,117899496,456992,1123624,0.023,0.036
