case,run,result,gc_mode,allocated_bytes,copied_bytes,max_residency_bytes,mut_elapsed_s,total_elapsed_s
data/satlib/flat200-479/flat200-1.cnf,10,SAT,nonmoving,217212144,5401984,1927688,0.034,0.046
data/satlib/flat200-479/flat200-1.cnf,11,SAT,nonmoving,217212144,5401984,1927688,0.030,0.048
data/satlib/flat200-479/flat200-1.cnf,12,SAT,nonmoving,217212144,5401984,1927688,0.034,0.046
data/satlib/flat200-479/flat200-1.cnf,13,SAT,nonmoving,217212144,5401904,1927688,0.032,0.046
data/satlib/flat200-479/flat200-1.cnf,14,SAT,nonmoving,217212144,5401984,1927688,0.048,0.062
data/satlib/flat200-479/flat200-1.cnf,15,SAT,nonmoving,217212144,5396848,1927688,0.031,0.047
data/satlib/flat200-479/flat200-1.cnf,16,SAT,nonmoving,217212144,5401984,1927688,0.033,0.048
data/satlib/flat200-479/flat200-1.cnf,17,SAT,nonmoving,217212144,5401984,1927688,0.030,0.046
data/satlib/flat200-479/flat200-1.cnf,18,SAT,nonmoving,217212144,5396848,1927688,0.030,0.046
data/satlib/flat200-479/flat200-1.cnf,19,SAT,nonmoving,217212144,5396768,1927688,0.031,0.046
data/satlib/flat200-479/flat200-1.cnf,20,SAT,nonmoving,217212144,5401984,1927688,0.033,0.045
data/satlib/flat200-479/flat200-1.cnf,21,SAT,nonmoving,217212144,5396808,1927688,0.030,0.037
data/satlib/Bejing/3blocks.cnf,1,SAT,nonmoving,164447920,37434832,16533696,0.023,0.072
data/satlib/Bejing/3blocks.cnf,2,SAT,nonmoving,164447920,37430000,15167656,0.025,0.070
data/satlib/Bejing/3blocks.cnf,3,SAT,nonmoving,164447920,37429992,15167656,0.024,0.071
data/satlib/Bejing/3blocks.cnf,4,SAT,nonmoving,164447920,37429992,15167656,0.038,0.090
data/satlib/Bejing/3blocks.cnf,5,SAT,nonmoving,164447920,37434832,16533696,0.039,0.108
data/satlib/Bejing/3blocks.cnf,6,SAT,nonmoving,164447920,37434736,16533120,0.026,0.070
data/satlib/Bejing/3blocks.cnf,7,SAT,nonmoving,164447920,37429992,15167656,0.036,0.090
data/satlib/Bejing/3blocks.cnf,8,SAT,nonmoving,164447920,37429992,15167656,0.023,0.074
data/satlib/Bejing/3blocks.cnf,9,SAT,nonmoving,164447920,37429992,15167656,0.027,0.073
data/satlib/Bejing/3blocks.cnf,10,SAT,nonmoving,164447920,37429992,15167656,0.023,0.072
data/satlib/Bejing/3blocks.cnf,11,SAT,nonmoving,164447920,37429992,15167656,0.023,0.061
data/satlib/Bejing/3blocks.cnf,12,SAT,nonmoving,164447920,37429992,15167656,0.023,0.059
data/satlib/Bejing/3blocks.cnf,13,SAT,nonmoving,164447920,37434896,16533280,0.024,0.070
data/satlib/Bejing/3blocks.cnf,14,SAT,nonmoving,164447920,37429992,15167656,0.023,0.060
data/satlib/Bejing/3blocks.cnf,15,SAT,nonmoving,164447920,37429992,15167656,0.034,0.095
data/satlib/Bejing/3blocks.cnf,16,SAT,nonmoving,164447920,37429992,15167656,0.022,0.061
data/satlib/Bejing/3blocks.cnf,17,SAT,nonmoving,164447920,37429992,15167656,0.023,0.071
data/satlib/Bejing/3blocks.cnf,18,SAT,nonmoving,164447920,37429992,15167656,0.023,0.072
data/satlib/Bejing/3blocks.cnf,19,SAT,nonmoving,164447920,37429992,15167656,0.038,0.103
data/satlib/Bejing/3blocks.cnf,20,SAT,nonmoving,164447920,37429992,15167656,0.023,0.074
data/satlib/Bejing/3blocks.cnf,21,SAT,nonmoving,164447920,37429992,15167656,0.023,0.059
workspace/tuning-corpus/all-binary-2-unsat.cnf,1,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,2,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,3,UNSAT,nonmoving,311360,6856,1067744,0.001,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,4,UNSAT,nonmoving,311360,6856,1067744,0.000,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,5,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,6,UNSAT,nonmoving,311360,6856,1067744,0.001,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,7,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,8,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,9,UNSAT,nonmoving,311360,6856,1067744,0.000,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,10,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,11,UNSAT,nonmoving,311360,6856,1067744,0.000,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,12,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,13,UNSAT,nonmoving,311360,6856,1067744,0.000,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,14,UNSAT,nonmoving,311360,6856,1067744,0.000,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,15,UNSAT,nonmoving,311360,6856,1067744,0.000,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,16,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,17,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,18,UNSAT,nonmoving,311360,6856,1067744,0.000,0.012
workspace/tuning-corpus/all-binary-2-unsat.cnf,19,UNSAT,nonmoving,311360,6856,1067744,0.001,0.011
workspace/tuning-corpus/all-binary-2-unsat.cnf,20,UNSAT,nonmoving,311360,6856,1067744,0.000,0.013
workspace/tuning-corpus/all-binary-2-unsat.cnf,21,UNSAT,nonmoving,311360,6856,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,1,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,2,UNSAT,nonmoving,447664,7200,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,3,UNSAT,nonmoving,447664,7200,1067744,0.000,0.011
workspace/tuning-corpus/implication-chain-12-unsat.cnf,4,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,5,UNSAT,nonmoving,447664,7200,1067744,0.001,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,6,UNSAT,nonmoving,447664,7200,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,7,UNSAT,nonmoving,447664,7200,1067744,0.000,0.012
workspace/tuning-corpus/implication-chain-12-unsat.cnf,8,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,9,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,10,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,11,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,12,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,13,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,14,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,15,UNSAT,nonmoving,447664,7200,1067744,0.000,0.016
workspace/tuning-corpus/implication-chain-12-unsat.cnf,16,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,17,UNSAT,nonmoving,447664,7200,1067744,0.001,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,18,UNSAT,nonmoving,447664,7200,1067744,0.000,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,19,UNSAT,nonmoving,447664,7200,1067744,0.001,0.013
workspace/tuning-corpus/implication-chain-12-unsat.cnf,20,UNSAT,nonmoving,447664,7200,1067744,0.000,0.010
